2019-10-29 13:31:06.9729 TotalError: 0.006, Region: Brentwood, London: False, Error: 0.003, Next: -0.209, Change: -1
2019-10-29 13:31:07.6768 TotalError: 0.006, Region: Bradford, London: False, Error: 0.002, Next: 0.029, Change: -1
2019-10-29 13:31:07.7804 TotalError: 0.006, Region: Camden, London: True, Error: 0.005, Next: -0.028, Change: -1
2019-10-29 13:31:07.9663 TotalError: 0.006, Region: Breckland, London: False, Error: 0.004, Next: 0.044, Change: -1
2019-10-29 13:31:10.2863 TotalError: 0.006, Region: Calderdale, London: False, Error: 0.013, Next: 0.01, Change: -1
2019-10-29 13:31:10.5018 TotalError: 0.006, Region: Broxtowe, London: False, Error: 0.005, Next: 0.044, Change: -1
2019-10-29 13:31:10.9109 TotalError: 0.006, Region: Carmarthenshire, London: False, Error: 0.007, Next: 0.005, Change: -1
2019-10-29 13:31:11.0187 TotalError: 0.006, Region: Cannock Chase, London: False, Error: 0.007, Next: 0.006, Change: -1
2019-10-29 13:31:11.1857 TotalError: 0.006, Region: Central Bedfordshire, London: False, Error: 0.003, Next: -0.003, Change: -1
2019-10-29 13:31:11.2242 TotalError: 0.006, Region: Cardiff, London: False, Error: 0.004, Next: -0.166, Change: -1
2019-10-29 13:31:11.3780 TotalError: 0.006, Region: Charnwood, London: False, Error: 0.006, Next: -0.005, Change: -1
2019-10-29 13:31:11.7516 TotalError: 0.006, Region: Boston, London: False, Error: 0.006, Next: 0.064, Change: -1
2019-10-29 13:31:16.3476 TotalError: 0.006, Region: Chiltern, London: False, Error: 0.003, Next: -0.023, Change: -1
2019-10-29 13:31:16.4762 TotalError: 0.006, Region: Christchurch, London: False, Error: 0.01, Next: -0.077, Change: -1
2019-10-29 13:31:16.9430 TotalError: 0.006, Region: Cambridgeshire, London: False, Error: 0.004, Next: -0.028, Change: -1
2019-10-29 13:31:17.0147 TotalError: 0.006, Region: Cheshire East, London: False, Error: 0.007, Next: 0.005, Change: -1
2019-10-29 13:31:17.0821 TotalError: 0.006, Region: Cheltenham, London: False, Error: 0.003, Next: 0.084, Change: -1
2019-10-29 13:31:17.1788 TotalError: 0.006, Region: Chesterfield, London: False, Error: 0.013, Next: 0.093, Change: -1
2019-10-29 13:31:19.7824 TotalError: 0.006, Region: City of Derby, London: False, Error: 0.022, Next: -0.143, Change: -1
2019-10-29 13:31:20.1867 TotalError: 0.006, Region: Chelmsford, London: False, Error: 0.004, Next: -0.155, Change: -1
2019-10-29 13:31:20.3111 TotalError: 0.006, Region: Canterbury, London: False, Error: 0.005, Next: -0.239, Change: -1
2019-10-29 13:31:20.4643 TotalError: 0.007, Region: Carlisle, London: False, Error: 0.018, Next: 0.037, Change: -1
2019-10-29 13:31:20.8747 TotalError: 0.007, Region: Castle Point, London: False, Error: 0.005, Next: -0.02, Change: -1
2019-10-29 13:31:20.9600 TotalError: 0.007, Region: Ceredigion, London: False, Error: 0.007, Next: 0.021, Change: -1
2019-10-29 13:31:21.2035 TotalError: 0.007, Region: City of London, London: False, Error: 0.018, Next: -0.045, Change: -1
2019-10-29 13:31:24.4235 TotalError: 0.007, Region: City of Bristol, London: False, Error: 0.004, Next: -0.147, Change: -1
2019-10-29 13:31:24.5774 TotalError: 0.007, Region: City of Peterborough, London: False, Error: 0.008, Next: -0.062, Change: -1
2019-10-29 13:31:24.8191 TotalError: 0.007, Region: Chichester, London: False, Error: 0.003, Next: -0.218, Change: -1
2019-10-29 13:31:25.0488 TotalError: 0.007, Region: Cherwell, London: False, Error: 0.004, Next: -0.093, Change: -1
2019-10-29 13:31:25.2493 TotalError: 0.007, Region: Cheshire West and Chester, London: False, Error: 0.001, Next: -0.015, Change: -1
2019-10-29 13:31:25.3060 TotalError: 0.007, Region: Chorley, London: False, Error: 0.015, Next: 0.064, Change: -1
2019-10-29 13:31:27.8475 TotalError: 0.007, Region: City of Kingston upon Hull, London: False, Error: 0.005, Next: 0.023, Change: -1
2019-10-29 13:31:28.1402 TotalError: 0.007, Region: Corby, London: False, Error: 0.005, Next: 0.016, Change: -1
2019-10-29 13:31:28.6418 TotalError: 0.007, Region: Cotswold, London: False, Error: 0.003, Next: 0.057, Change: -1
2019-10-29 13:31:28.9108 TotalError: 0.007, Region: City of Westminster, London: True, Error: 0.003, Next: -0.042, Change: -1
2019-10-29 13:31:29.6917 TotalError: 0.007, Region: Conwy, London: False, Error: 0.009, Next: 0.038, Change: -1
2019-10-29 13:31:31.2192 TotalError: 0.006, Region: Cumbria, London: False, Error: 0.002, Next: -0.026, Change: -1
2019-10-29 13:31:31.8596 TotalError: 0.006, Region: City of Plymouth, London: False, Error: 0.005, Next: -0.085, Change: -1
2019-10-29 13:31:32.3476 TotalError: 0.006, Region: Daventry, London: False, Error: 0.005, Next: -0.424, Change: -1
2019-10-29 13:31:32.6066 TotalError: 0.007, Region: Derbyshire, London: False, Error: 0.022, Next: -0.014, Change: -1
2019-10-29 13:31:33.0218 TotalError: 0.007, Region: Crawley, London: False, Error: 0.004, Next: -0.016, Change: -1
2019-10-29 13:31:33.2454 TotalError: 0.007, Region: City of Nottingham, London: False, Error: 0.005, Next: 0.045, Change: -1
2019-10-29 13:31:33.2745 TotalError: 0.007, Region: Coventry, London: False, Error: 0.005, Next: 0.141, Change: -1
2019-10-29 13:31:33.6246 TotalError: 0.007, Region: Darlington, London: False, Error: 0.003, Next: 0.004, Change: -1
2019-10-29 13:31:36.8764 TotalError: 0.007, Region: Cornwall, London: False, Error: 0.012, Next: 0.072, Change: -1
2019-10-29 13:31:36.9789 TotalError: 0.007, Region: County Durham, London: False, Error: 0.002, Next: -0.119, Change: -1
2019-10-29 13:31:37.0009 TotalError: 0.007, Region: Devon, London: False, Error: 0.011, Next: -0.077, Change: -1
2019-10-29 13:31:37.9500 TotalError: 0.007, Region: Colchester, London: False, Error: 0.01, Next: -0.198, Change: -1
2019-10-29 13:31:38.5886 TotalError: 0.007, Region: Copeland, London: False, Error: 0.005, Next: 0.069, Change: -1
2019-10-29 13:31:39.9696 TotalError: 0.007, Region: Dudley, London: False, Error: 0.004, Next: 0.085, Change: -1
2019-10-29 13:31:40.0586 TotalError: 0.007, Region: Dacorum, London: False, Error: 0.002, Next: -0.087, Change: -1
2019-10-29 13:31:40.0797 TotalError: 0.007, Region: Derbyshire Dales, London: False, Error: 0.005, Next: 0.044, Change: -1
2019-10-29 13:31:40.5264 TotalError: 0.006, Region: Croydon, London: True, Error: 0.004, Next: 0.034, Change: -1
2019-10-29 13:31:40.6166 TotalError: 0.006, Region: Dorset, London: False, Error: 0.005, Next: -0.075, Change: -1
2019-10-29 13:31:40.7898 TotalError: 0.007, Region: Denbighshire, London: False, Error: 0.015, Next: -0.072, Change: -1
2019-10-29 13:31:41.0953 TotalError: 0.007, Region: Craven, London: False, Error: 0.003, Next: 0.024, Change: -1
2019-10-29 13:31:44.8930 TotalError: 0.007, Region: East Cambridgeshire, London: False, Error: 0.004, Next: -0.287, Change: -1
2019-10-29 13:31:44.9775 TotalError: 0.006, Region: Dartford, London: False, Error: 0.006, Next: -0.156, Change: -1
2019-10-29 13:31:45.1089 TotalError: 0.007, Region: Doncaster, London: False, Error: 0.022, Next: -0.044, Change: -1
2019-10-29 13:31:45.3958 TotalError: 0.007, Region: East Dorset, London: False, Error: 0.01, Next: 0.044, Change: -1
2019-10-29 13:31:45.7924 TotalError: 0.007, Region: East Hertfordshire, London: False, Error: 0.004, Next: -0.27, Change: -1
2019-10-29 13:31:46.8663 TotalError: 0.007, Region: East Northamptonshire, London: False, Error: 0.007, Next: -0.088, Change: -1
2019-10-29 13:31:47.0543 TotalError: 0.007, Region: Eastbourne, London: False, Error: 0.004, Next: -0.004, Change: -1
2019-10-29 13:31:47.1722 TotalError: 0.007, Region: Enfield, London: True, Error: 0.003, Next: -0.146, Change: -1
2019-10-29 13:31:47.3049 TotalError: 0.007, Region: Dover, London: False, Error: 0.006, Next: -0.046, Change: -1
2019-10-29 13:31:47.9080 TotalError: 0.007, Region: Ealing, London: True, Error: 0.006, Next: -0.227, Change: -1
2019-10-29 13:31:49.0504 TotalError: 0.007, Region: Erewash, London: False, Error: 0.033, Next: -0.122, Change: -1
2019-10-29 13:31:51.6575 TotalError: 0.007, Region: Exeter, London: False, Error: 0.004, Next: 0.009, Change: -1
2019-10-29 13:31:51.7924 TotalError: 0.007, Region: East Hampshire, London: False, Error: 0.004, Next: -0.187, Change: -1
2019-10-29 13:31:52.0254 TotalError: 0.007, Region: East Lindsey, London: False, Error: 0.003, Next: 0.116, Change: -1
2019-10-29 13:31:52.2706 TotalError: 0.007, Region: East Devon, London: False, Error: 0.01, Next: -0.006, Change: -1
2019-10-29 13:31:52.5814 TotalError: 0.007, Region: Gateshead, London: False, Error: 0.041, Next: 0.075, Change: -1
2019-10-29 13:31:52.5814 TotalError: 0.007, Region: Folkestone and Hythe, London: False, Error: 0.005, Next: 0.096, Change: -1
2019-10-29 13:31:53.3285 TotalError: 0.007, Region: England and Wales, London: False, Error: 0.014, Next: -0.022, Change: -1
2019-10-29 13:31:54.4856 TotalError: 0.007, Region: Eastleigh, London: False, Error: 0.004, Next: -0.064, Change: -1
2019-10-29 13:31:54.5262 TotalError: 0.007, Region: Gloucester, London: False, Error: 0.006, Next: -0.133, Change: -1
2019-10-29 13:31:54.6731 TotalError: 0.007, Region: East Riding of Yorkshire, London: False, Error: 0.029, Next: -0.077, Change: -1
2019-10-29 13:31:58.9000 TotalError: 0.007, Region: Forest Heath, London: False, Error: 0.01, Next: -0.15, Change: -1
2019-10-29 13:31:59.0138 TotalError: 0.007, Region: Great Yarmouth, London: False, Error: 0.007, Next: 0.043, Change: -1
2019-10-29 13:31:59.0363 TotalError: 0.007, Region: Fareham, London: False, Error: 0.006, Next: -0.043, Change: -1
2019-10-29 13:31:59.1437 TotalError: 0.007, Region: Gwynedd, London: False, Error: 0.003, Next: -0.054, Change: -1
2019-10-29 13:31:59.2359 TotalError: 0.007, Region: Hammersmith and Fulham, London: True, Error: 0.007, Next: -0.136, Change: -1
2019-10-29 13:31:59.3732 TotalError: 0.007, Region: Essex, London: False, Error: 0.004, Next: -0.005, Change: -1
2019-10-29 13:31:59.5123 TotalError: 0.007, Region: Harlow, London: False, Error: 0.005, Next: 0.184, Change: -1
2019-10-29 13:31:59.6579 TotalError: 0.007, Region: Gedling, London: False, Error: 0.004, Next: 0.018, Change: -1
2019-10-29 13:32:01.0532 TotalError: 0.007, Region: Epping Forest, London: False, Error: 0.004, Next: -0.11, Change: -1
2019-10-29 13:32:01.4799 TotalError: 0.007, Region: Eden, London: False, Error: 0.01, Next: -0.007, Change: -1
2019-10-29 13:32:01.6282 TotalError: 0.007, Region: Gloucestershire, London: False, Error: 0.005, Next: -0.04, Change: -1
2019-10-29 13:32:01.7182 TotalError: 0.007, Region: East Staffordshire, London: False, Error: 0.003, Next: 0.044, Change: -1
2019-10-29 13:32:05.9638 TotalError: 0.007, Region: Fenland, London: False, Error: 0.008, Next: -0.184, Change: -1
2019-10-29 13:32:05.9989 TotalError: 0.007, Region: Hampshire, London: False, Error: 0.004, Next: -0.048, Change: -1
2019-10-29 13:32:06.2965 TotalError: 0.007, Region: Hartlepool, London: False, Error: 0.004, Next: -0.046, Change: -1
2019-10-29 13:32:06.3964 TotalError: 0.007, Region: Greater Manchester, London: False, Error: 0.002, Next: 0.094, Change: -1
2019-10-29 13:32:06.5081 TotalError: 0.007, Region: Forest of Dean, London: False, Error: 0.006, Next: 0.039, Change: -1
2019-10-29 13:32:06.5163 TotalError: 0.007, Region: Hackney, London: True, Error: 0.005, Next: -0.04, Change: -1
2019-10-29 13:32:06.7856 TotalError: 0.007, Region: Harrogate, London: False, Error: 0.006, Next: -0.066, Change: -1
2019-10-29 13:32:08.0203 TotalError: 0.007, Region: Epsom and Ewell, London: False, Error: 0.003, Next: -0.138, Change: -1
2019-10-29 13:32:08.4328 TotalError: 0.007, Region: East Sussex, London: False, Error: 0.004, Next: 0.085, Change: -1
2019-10-29 13:32:08.5930 TotalError: 0.007, Region: Elmbridge, London: False, Error: 0.003, Next: -0.135, Change: -1
2019-10-29 13:32:08.8647 TotalError: 0.007, Region: Gosport, London: False, Error: 0.005, Next: 0.05, Change: -1
2019-10-29 13:32:09.0063 TotalError: 0.007, Region: Herefordshire, London: False, Error: 0.004, Next: 0.08, Change: -1
2019-10-29 13:32:13.2652 TotalError: 0.007, Region: Halton, London: False, Error: 0.003, Next: 0.026, Change: -1
2019-10-29 13:32:13.5549 TotalError: 0.007, Region: Fylde, London: False, Error: 0.022, Next: -0.047, Change: -1
2019-10-29 13:32:13.6204 TotalError: 0.007, Region: Greenwich, London: True, Error: 0.004, Next: -0.107, Change: -1
2019-10-29 13:32:13.6826 TotalError: 0.007, Region: Flintshire, London: False, Error: 0.022, Next: -0.084, Change: -1
2019-10-29 13:32:13.7171 TotalError: 0.007, Region: Harrow, London: True, Error: 0.003, Next: -0.072, Change: -1
2019-10-29 13:32:13.9396 TotalError: 0.007, Region: Hastings, London: False, Error: 0.004, Next: 0.164, Change: -1
2019-10-29 13:32:14.3880 TotalError: 0.007, Region: Harborough, London: False, Error: 0.004, Next: 0.068, Change: -1
2019-10-29 13:32:15.5426 TotalError: 0.007, Region: Isle of Anglesey, London: False, Error: 0.014, Next: 0.071, Change: -1
2019-10-29 13:32:15.9167 TotalError: 0.007, Region: Hillingdon, London: True, Error: 0.004, Next: -0.042, Change: -1
2019-10-29 13:32:16.0606 TotalError: 0.007, Region: Hertfordshire, London: False, Error: 0.003, Next: -0.148, Change: -1
2019-10-29 13:32:16.1664 TotalError: 0.007, Region: Huntingdonshire, London: False, Error: 0.003, Next: -0.005, Change: -1
2019-10-29 13:32:16.4176 TotalError: 0.007, Region: Gravesham, London: False, Error: 0.003, Next: 0.095, Change: -1
2019-10-29 13:32:19.7828 TotalError: 0.007, Region: Kirklees, London: False, Error: 0.002, Next: -0.003, Change: -1
2019-10-29 13:32:20.7653 TotalError: 0.007, Region: Guildford, London: False, Error: 0.003, Next: -0.021, Change: -1
2019-10-29 13:32:20.9545 TotalError: 0.007, Region: Kent, London: False, Error: 0.003, Next: 0.034, Change: -1
2019-10-29 13:32:20.9805 TotalError: 0.007, Region: Hart, London: False, Error: 0.004, Next: -0.253, Change: -1
2019-10-29 13:32:21.5219 TotalError: 0.007, Region: Hinckley and Bosworth, London: False, Error: 0.006, Next: -0.052, Change: -1
