2019-11-04 13:07:53.2034 TotalError: 0.105, AverageError: 0.002, Region: Bridgend, London: False, Error: 0.003, Next: -0.173, Change: -1
2019-11-04 13:07:55.8261 TotalError: 0.108, AverageError: 0.002, Region: Camden, London: True, Error: 0.003, Next: 0.334, Change: -1
2019-11-04 13:07:58.5683 TotalError: 0.111, AverageError: 0.002, Region: Broxtowe, London: False, Error: 0.003, Next: -0.101, Change: -1
2019-11-04 13:08:00.2064 TotalError: 0.112, AverageError: 0.002, Region: Bromsgrove, London: False, Error: 0.001, Next: -0.07, Change: -1
2019-11-04 13:08:00.3732 TotalError: 0.119, AverageError: 0.002, Region: Burnley, London: False, Error: 0.006, Next: -0.262, Change: -1
2019-11-04 13:08:00.4767 TotalError: 0.12, AverageError: 0.002, Region: Caerphilly, London: False, Error: 0.002, Next: -0.066, Change: -1
2019-11-04 13:08:00.4931 TotalError: 0.125, AverageError: 0.002, Region: Broadland, London: False, Error: 0.004, Next: -0.171, Change: -1
2019-11-04 13:08:00.9662 TotalError: 0.126, AverageError: 0.002, Region: Cambridge, London: False, Error: 0.002, Next: 0.282, Change: -1
2019-11-04 13:08:20.0669 TotalError: 0.127, AverageError: 0.002, Region: Bradford, London: False, Error: 0.001, Next: -0.175, Change: -1
2019-11-04 13:08:24.8974 TotalError: 0.129, AverageError: 0.002, Region: Bournemouth, London: False, Error: 0.002, Next: -0.084, Change: -1
2019-11-04 13:08:26.7811 TotalError: 0.132, AverageError: 0.002, Region: Ceredigion, London: False, Error: 0.003, Next: -0.151, Change: -1
2019-11-04 13:08:28.4978 TotalError: 0.134, AverageError: 0.002, Region: Carmarthenshire, London: False, Error: 0.002, Next: -0.218, Change: -1
2019-11-04 13:08:29.5826 TotalError: 0.136, AverageError: 0.002, Region: Castle Point, London: False, Error: 0.002, Next: -0.112, Change: -1
2019-11-04 13:08:29.6840 TotalError: 0.137, AverageError: 0.002, Region: Cardiff, London: False, Error: 0.002, Next: -0.115, Change: -1
2019-11-04 13:08:31.9254 TotalError: 0.139, AverageError: 0.002, Region: Cannock Chase, London: False, Error: 0.002, Next: -0.118, Change: -1
2019-11-04 13:08:40.6489 TotalError: 0.141, AverageError: 0.002, Region: Chelmsford, London: False, Error: 0.002, Next: -0.068, Change: -1
2019-11-04 13:08:46.3093 TotalError: 0.142, AverageError: 0.002, Region: Bromley, London: True, Error: 0.002, Next: 0.039, Change: -1
2019-11-04 13:08:46.7891 TotalError: 0.146, AverageError: 0.002, Region: Bury, London: False, Error: 0.004, Next: -0.193, Change: -1
2019-11-04 13:08:47.4974 TotalError: 0.147, AverageError: 0.002, Region: Buckinghamshire, London: False, Error: 0.001, Next: -0.001, Change: -1
2019-11-04 13:08:48.8703 TotalError: 0.149, AverageError: 0.002, Region: Calderdale, London: False, Error: 0.002, Next: -0.136, Change: -1
2019-11-04 13:08:48.9484 TotalError: 0.151, AverageError: 0.002, Region: Cambridgeshire, London: False, Error: 0.001, Next: 0.055, Change: -1
